"EntityId","Labels","Domain","SourceFile"
"automation.kitchen_light_on_inside","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.kitchen_light_on_outside","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.kok_100_morgon_sensor_on_2500","Area: K̦k; Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\logging\logbook.yaml"
"automation.kok_100_sensor_on_0_150","Area: K̦k; Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\logging\logbook.yaml"
"automation.kok_100_sensor_on_150_2500","Area: K̦k; Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\logging\logbook.yaml"
"automation.kok_100_sensor_on_borta_0_150","Area: K̦k; Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\logging\logbook.yaml"
"automation.kok_25_sensor_on_hemma_0_150","Area: K̦k; Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\logging\logbook.yaml"
"automation.koksbelysning","Area: K̦k; Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.koksbelysning_resolver","Area: K̦k; Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.kyl_temperaturlarm","Automation; Temperatur","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.lag_temp_franluft","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-ventilation.yaml"
"automation.lag_temp_tilluft","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-ventilation.yaml"
"automation.lag_temperatur_larm","Automation; Temperatur","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml"
"automation.larm_hog_temperatur_niva","Automation; Temperatur","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml"
"automation.larm_lag_temperatur","Automation; Temperatur","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml"
"automation.media_av_vid_sover","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\extra\tests\test_generate_ui_dashboards.py | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.media_och_varmekallor_av_vid_sover","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\extra\tests\test_generate_ui_dashboards.py"
"automation.morning_light_off_inside","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.morning_light_off_outside","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.morning_light_on_inside","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.morning_light_on_outside","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.mqtt_publish_filtered_outside_lux","Automation; MQTT","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\logging\logbook.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.mqtt_publish_outside_temperature","Automation; MQTT; Temperatur","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\logging\logbook.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automation.yaml | C:\Users\micke\Documents\GitHub\Home-AssistantConfig\ui-automations-v2.yaml"
"automation.name","Automation","automation","C:\Users\micke\Documents\GitHub\Home-AssistantConfig\extra\ui_entity_comparison.py"
